Source,Target,Type,Id,Label,Weight,Color
0,1,Undirected,27255,,0.047207,"#000000"
0,2,Undirected,27256,,0.044339,"#000000"
0,3,Undirected,27257,,0.038935,"#000000"
0,4,Undirected,27258,,0.037012,"#000000"
0,5,Undirected,27259,,0.022897,"#000000"
0,6,Undirected,27260,,0.019081,"#000000"
0,7,Undirected,27261,,0.015621,"#000000"
0,8,Undirected,27262,,0.015202,"#000000"
0,9,Undirected,27263,,0.013382,"#000000"
0,10,Undirected,27264,,0.012441,"#000000"
0,11,Undirected,27265,,0.01148,"#000000"
0,12,Undirected,27266,,0.01143,"#000000"
0,13,Undirected,27267,,0.010786,"#000000"
0,14,Undirected,27268,,0.0107,"#000000"
0,15,Undirected,27269,,0.010491,"#000000"
0,16,Undirected,27270,,0.009739,"#000000"
0,17,Undirected,27271,,0.009093,"#000000"
0,18,Undirected,27272,,0.008927,"#000000"
0,19,Undirected,27273,,0.008905,"#000000"
0,20,Undirected,27274,,0.008805,"#000000"
0,21,Undirected,27275,,0.008736,"#000000"
0,22,Undirected,27276,,0.00833,"#000000"
0,23,Undirected,27277,,0.008283,"#000000"
0,24,Undirected,27278,,0.008247,"#000000"
0,25,Undirected,27279,,0.008043,"#000000"
0,2437,Undirected,27280,,0.899715,"#000000"
0,1615,Undirected,27281,,0.788234,"#000000"
0,2219,Undirected,27282,,0.701141,"#000000"
0,2428,Undirected,27283,,0.420992,"#000000"
0,2126,Undirected,27284,,0.089885,"#000000"
0,1666,Undirected,27285,,0.05414,"#000000"
0,2377,Undirected,27286,,0.012622,"#000000"
0,2211,Undirected,27287,,0.000201,"#000000"
1,204,Undirected,27288,,0.016227,"#000000"
1,1606,Undirected,27289,,0.016248,"#000000"
1,1615,Undirected,27290,,0.100597,"#000000"
1,2219,Undirected,27291,,0.021409,"#000000"
1,2428,Undirected,27292,,0.027717,"#000000"
1,2437,Undirected,27293,,0.036534,"#000000"
1,2443,Undirected,27294,,0.011867,"#000000"
2,1615,Undirected,27295,,0.107306,"#000000"
2,1987,Undirected,27296,,0.03236,"#000000"
2,2437,Undirected,27297,,0.029342,"#000000"
2,2516,Undirected,27298,,0.022489,"#000000"
3,1615,Undirected,27299,,0.02704,"#000000"
3,2219,Undirected,27300,,0.072195,"#000000"
3,2428,Undirected,27301,,0.069233,"#000000"
3,2437,Undirected,27302,,0.027991,"#000000"
4,1615,Undirected,27303,,0.055895,"#000000"
4,2219,Undirected,27304,,0.05441,"#000000"
4,2428,Undirected,27305,,0.033543,"#000000"
4,2437,Undirected,27306,,0.029121,"#000000"
5,2219,Undirected,27307,,0.158151,"#000000"
5,2437,Undirected,27308,,0.019904,"#000000"
6,204,Undirected,27309,,0.025279,"#000000"
6,661,Undirected,27310,,0.016015,"#000000"
6,2270,Undirected,27311,,0.034175,"#000000"
6,2428,Undirected,27312,,0.019763,"#000000"
6,2437,Undirected,27313,,0.009761,"#000000"
6,2620,Undirected,27314,,0.016258,"#000000"
7,1666,Undirected,27315,,0.017845,"#000000"
7,2219,Undirected,27316,,0.059593,"#000000"
7,2428,Undirected,27317,,0.044086,"#000000"
7,2437,Undirected,27318,,0.015069,"#000000"
8,1666,Undirected,27319,,0.0979,"#000000"
8,2219,Undirected,27320,,0.013465,"#000000"
8,2437,Undirected,27321,,0.014873,"#000000"
8,2588,Undirected,27322,,0.026032,"#000000"
9,1615,Undirected,27323,,0.011801,"#000000"
9,2219,Undirected,27324,,0.038193,"#000000"
9,2437,Undirected,27325,,0.009989,"#000000"
