Id,Label,node_type,modularity_class,degree,weighted degree,eigencentrality,pageranks,stat_inf_class,clustering,triangles,X,Y,Size,Color
1538,"B0: taxes, income",Becker,3,38,5.410319,0.369331,0.00162,6,0.15505,109,540.715271,1376.983398,25.205479,"#9900e0"
1545,"B1: college, tuition",Becker,6,44,7.941972,0.422985,0.001866,14,0.199789,189,1843.000244,-1542.128296,27.671234,"#f00016"
1551,"B2: immigrants, illegal",Becker,16,37,3.973832,0.288529,0.00174,15,0.094595,63,74.460243,-1318.61377,24.794521,"#00bd94"
1563,B3: unemployment,Becker,16,38,5.044366,0.346137,0.001601,9,0.157895,111,242.664932,820.682739,25.205479,"#00bd94"
1569,"B4: children, parents, families",Becker,8,35,3.648432,0.266553,0.001569,23,0.09916,59,1863.818481,-675.173706,23.972603,"#4c463e"
1584,"B5: housing, borrowers, lenders",Becker,13,38,6.117088,0.347517,0.00155,21,0.167852,118,352.22049,1652.69104,25.205479,"#ff5584"
1590,"B6: food, farmers, prices",Becker,4,39,5.075165,0.326205,0.001716,17,0.153846,114,-1885.424805,1827.003174,25.616438,"#05ff00"
1597,"B7: newspapers, internet",Becker,5,47,6.325546,0.30445,0.002414,30,0.095282,103,-2058.836426,-1113.086792,28.90411,"#00c4ff"
1606,"B8: obesity, weight",Becker,4,30,2.689295,0.118534,0.001495,17,0.094253,41,-2978.78418,2320.838623,21.917809,"#05ff00"
1615,"B9: insurance, health",Becker,14,35,3.619759,0.287791,0.001732,8,0.085714,51,75.512596,328.682526,23.972603,"#5795ff"
1625,"B10: women, men, gender",Becker,8,37,4.099186,0.304382,0.001649,5,0.12012,80,2444.936523,-1266.147461,24.794521,"#4c463e"
1636,"B11: carbon, emmissions",Becker,4,33,3.285674,0.156372,0.001636,17,0.126894,67,-2307.329834,2683.122559,23.150684,"#05ff00"
1650,"B12: fed, central, inflation",Becker,13,44,7.972835,0.539553,0.001779,21,0.161734,153,144.242401,1289.071411,27.671234,"#ff5584"
1658,"B13: oil, gas, prices",Becker,4,44,5.655293,0.354975,0.001947,17,0.15222,144,-1816.184082,1980.58606,27.671234,"#05ff00"
1666,"B14: retirement, age, security",Becker,14,34,2.128113,0.26224,0.001712,8,0.083779,47,304.747864,166.379471,23.561644,"#5795ff"
1681,"B15: foundations, conservative",Becker,6,41,5.084798,0.308553,0.002019,4,0.089024,73,728.478943,-767.987488,26.438356,"#f00016"
1691,"B16: inequality, incomes",Becker,14,36,4.026062,0.320476,0.001627,27,0.109524,69,953.832825,244.45871,24.38356,"#5795ff"
1698,"B17: marriage, gay",Becker,8,36,5.05149,0.180827,0.001801,5,0.133333,84,3585.359619,-1127.498535,24.38356,"#4c463e"
1704,"B18: executives, ceo, compensation",Becker,2,35,5.543507,0.307475,0.00151,11,0.139496,83,-615.875,1036.415527,23.972603,"#73c000"
1710,B19: terrorism,Becker,11,36,3.921635,0.206691,0.001817,2,0.103175,65,-824.143677,-1019.429138,24.38356,"#4300a3"
1726,B20: unions,Becker,2,35,3.662261,0.343348,0.001465,31,0.117647,70,-435.515869,779.267517,23.972603,"#73c000"
1730,B21: universities,Becker,6,40,7.564234,0.313285,0.001855,14,0.174359,136,1750.443481,-1741.072388,26.027397,"#f00016"
1740,"B22: student, loans",Becker,13,38,4.776096,0.354135,0.001729,21,0.119488,84,1011.555603,463.789825,25.205479,"#ff5584"
1750,"B23: fertility, birth",Becker,8,45,7.072086,0.469822,0.001885,23,0.118182,117,1640.970215,-496.328827,28.082193,"#4c463e"
1755,"B24: evidence, issues, doubtful",Becker,9,37,3.895847,0.180776,0.002358,22,0.078078,52,-1966.178711,133.563263,24.794521,"#ff2ec4"
1775,"B25: athletes, sport",Becker,7,29,4.041964,0.079168,0.001567,26,0.135468,55,1687.022705,-3868.351074,21.506849,"#ff85eb"
1785,"B26: candidates, political",Becker,20,37,4.957641,0.217038,0.001826,7,0.111111,74,-126.280342,-324.626862,24.794521,"#800f00"
1793,"B27: recession, depression",Becker,16,37,3.81906,0.323029,0.001672,9,0.112613,75,575.181519,1176.615845,24.794521,"#00bd94"
1799,"B28: corruption, regulators",Becker,2,43,6.077914,0.39304,0.002035,0,0.104097,94,-1019.491394,614.606262,27.260275,"#73c000"
1808,"B29: affirmative, discrimination",Becker,16,35,3.296183,0.22309,0.001632,10,0.109244,65,558.144165,-1484.302979,23.972603,"#00bd94"
1820,"B30: drunk, driving, accidents",Becker,17,36,3.877712,0.182556,0.001687,16,0.122222,77,-2727.540527,510.057892,24.38356,"#0011f5"
1830,"B31: euro, greece",Becker,15,35,5.169337,0.277891,0.001683,12,0.134454,80,973.188293,325.610321,23.972603,"#ff8805"
1841,"B32: airlines, delays",Becker,11,28,3.391657,0.070813,0.001555,2,0.095238,36,-3007.751709,-773.884094,21.09589,"#4300a3"
1851,"B33: debt, deficits, ceiling",Becker,3,43,7.038457,0.505313,0.001865,18,0.153931,139,266.504303,1284.997681,27.260275,"#9900e0"
1859,"B34: teachers, schools",Becker,6,46,7.88661,0.376721,0.002087,14,0.154589,160,1932.091431,-1650.351074,28.493151,"#f00016"
1870,"B35: banks, requirements, capital",Becker,13,43,8.162893,0.425799,0.001941,21,0.160576,145,164.494125,1539.276611,27.260275,"#ff5584"
1880,"B36: drugs, marijuana",Becker,1,36,4.373713,0.202008,0.001796,26,0.111111,70,-1768.762817,-1792.594482,24.38356,"#f5dc00"
1890,"B37: freedom, economic",Becker,20,37,5.006302,0.311108,0.001909,7,0.102102,68,753.19165,-479.027313,24.794521,"#800f00"
1903,"B38: gasoline, cars",Becker,4,43,4.890308,0.351971,0.00188,17,0.121816,110,-2048.852539,1964.372559,27.260275,"#05ff00"
1911,"B39: congestion, traffic",Becker,17,32,3.03613,0.137205,0.001615,16,0.110887,55,-3340.625,829.598328,22.739727,"#0011f5"
1923,"B40: competition, bureaucracies, monopoly",Becker,2,48,6.804249,0.509011,0.002116,31,0.112589,127,-788.284241,678.629944,29.315067,"#73c000"
1930,"B41: sex, abortions",Becker,8,37,4.664603,0.18062,0.001869,5,0.111111,74,3226.365479,-1157.205444,24.794521,"#4c463e"
1943,"B42: stimulus, spending",Becker,3,38,5.14488,0.400144,0.001739,18,0.125178,88,165.731003,1145.703125,25.205479,"#9900e0"
1955,"B43: punishment, capital, crimes",Becker,1,36,6.408598,0.218777,0.001637,19,0.177778,112,-1386.187866,-1869.290283,24.38356,"#f5dc00"
